id;verified;followers_count;friends_count;description;profile_image_url;account_type
796216118331310080;False;860;880;1;1;human
875949740503859204;False;172;594;1;1;human
756119643622735875;False;517;633;1;1;human
464781334;True;753678;116;1;1;human
800833795234611200;False;27394;542;1;1;bot
55050269;True;291529;1581;1;1;human
809500704;True;6909959;40;1;1;human
1015021614;False;24;0;0;1;human
492306486;False;2130;3363;1;1;human
432537664;False;32;0;1;1;human
2579497028;False;26675;26;1;1;bot
19660870;True;262121;643;1;1;human
313087874;True;1950090;1574;1;1;human
211550281;True;252142;562;1;1;human
769392715;False;5281;581;1;1;human
772106131875500032;False;0;0;1;1;human
772521707810787328;False;0;0;1;1;human
476691783;False;2365;296;1;1;human
384565337;False;6;33;0;1;bot
305922144;True;37278;455;1;1;human
1183842404;False;4;0;1;1;bot
253755500;True;7383658;3016;1;1;human
368050288;True;9179;1275;1;1;human
14418045;True;163616;115;1;1;human
296484990;False;585;900;1;1;human
932049341862240256;False;3745;2;1;1;bot
99352713;False;137;140;1;1;human
519045260;False;249184;984;1;1;human
115343506;False;5362;355;1;1;human
2166882457;False;704;598;1;1;human
381157528;False;64;156;1;1;bot
721944734;False;3;0;1;1;bot
3392143521;False;267;246;1;1;human
23330998;True;108660;1247;1;1;human
63176889;False;387;328;1;1;human
239861947;False;276;509;1;1;human
21758143;True;157466;1031;1;1;human
765944091385421824;False;12;11;1;1;bot
19923144;True;30999003;1748;1;1;bot
235667666;False;1300;1137;0;1;human
1191444692;False;184;436;1;1;human
2499018968;False;338;743;0;1;human
557842655;False;93;233;1;1;human
23331044;False;108;0;1;1;bot
321388777;True;1285743;850;1;1;human
298320111;True;1541148;628;1;1;human
51904755;False;25;851;1;1;bot
243794165;False;101576;286;1;1;human
2918711542;False;317;413;1;1;bot
123470069;False;164313;5577;0;1;human
2943615224;False;916;0;1;1;bot
127664378;True;179268;867;1;1;human
1084227842;False;23;267;1;1;bot
122159370;False;61;28;0;1;bot
39321874;True;1437950;935;1;1;bot
949036672741793793;False;197;7;1;1;bot
2178679070;False;205;702;1;1;human
2980315426;False;2;0;1;1;bot
17039652;False;1491;158;1;1;human
1014793793353199617;False;65;114;1;1;human
202375506;False;7235;3115;1;1;human
347865421;False;16;0;1;1;bot
572785000;False;24;57;0;1;bot
4790681969;False;13;106;1;1;human
380457314;False;18;0;1;1;bot
15729017;False;13281;1858;1;1;human
596377986;True;21046;3025;1;1;human
711721350;False;7;27;0;1;bot
326369679;False;4476;568;0;1;bot
866648466;False;1064;172;1;1;bot
708759570319953920;False;31;4;1;1;bot
722003254716944384;False;13;392;0;1;bot
418;True;84574;2843;1;1;human
19399072;False;47;166;0;1;bot
875782003244892160;False;1;0;1;1;bot
734035576068788225;False;21;46;1;1;bot
816463277643288577;False;56;25;0;1;human
611582397;False;68745;0;1;1;human
57409991;True;13893;1506;1;1;human
46662096;False;110;1112;1;1;human
101974483;False;1077;2043;1;1;human
2610430435;False;356;4412;0;1;bot
38797799;True;4254877;2668;1;1;human
30409200;True;103334;576;1;1;human
24117754;False;171;1049;0;1;human
491258363;True;680345;183;1;1;human
4112253434;False;25;45;1;1;bot
872826012794585089;False;26;131;1;1;human
876795381841100801;False;407;186;1;1;bot
287834630;True;4201705;885;1;1;human
62915097;False;446;807;1;1;human
261620277;False;113181;297;1;1;human
