id,screen_name,verified,followers_count,friends_count,description,profile_image_url
50055029763,oussama307r,False,23,88,0,1
3531842728,yousufmansoor,False,172,197,0,1
9018246833,na_1mah_,False,418,257,1,1
2105157312,y6kppn,False,1931,4947,0,1
